,ALT_GEO_CODE,CENSUS_YEAR,DATA_QUALITY_FLAG,GEO_CODE,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,Member ID: Profile of Census Tracts (2247),Profile_of_Census_Tracts,Total-Sex,area,average,format_CODE,percentage,higer/lower,absolute
73,539030500,2016,111,5390305,,2,305,9.8,11.5,742,Median total income of households in 2015 ($),29952,St. Catharines - Niagara,63001,5390305.00,-52.46%,lower,52.46%
58,537003600,2016,101,5370036,,,36,8.8,7.2,742,Median total income of households in 2015 ($),30400,Hamilton,75464,5370036.00,-59.72%,lower,59.72%
7,539000500,2016,101,5390005,,2,5,7.3,7.9,742,Median total income of households in 2015 ($),31061,St. Catharines - Niagara,63001,5390005.00,-50.70%,lower,50.70%
72,537005000,2016,111,5370050,,,50,5.5,10.7,742,Median total income of households in 2015 ($),31072,Hamilton,75464,5370050.00,-58.83%,lower,58.83%
23,532001000,2016,101,5320010,,2,10,7.2,7.5,742,Median total income of households in 2015 ($),31328,Oshawa,85697,5320010.00,-63.44%,lower,63.44%
73,537005100,2016,111,5370051,,,51,6.2,13.4,742,Median total income of households in 2015 ($),31861,Hamilton,75464,5370051.00,-57.78%,lower,57.78%
70,537004800,2016,1101,5370048,,,48,16.4,9.6,742,Median total income of households in 2015 ($),32160,Hamilton,75464,5370048.00,-57.38%,lower,57.38%
74,539030600,2016,101,5390306,,2,306,5.8,9.8,742,Median total income of households in 2015 ($),32560,St. Catharines - Niagara,63001,5390306.00,-48.32%,lower,48.32%
314,535026005,2016,101,,5350260.05,2,260.05,2.7,5.4,742,Median total income of households in 2015 ($),33331,Toronto,78373,5350260.05,-57.47%,lower,57.47%
468,535034402,2016,0,,5350344.02,2,344.02,4.2,6.7,742,Median total income of households in 2015 ($),33472,Toronto,78373,5350344.02,-57.29%,lower,57.29%
82,535006502,2016,1,,5350065.02,2,65.02,4.3,7.9,742,Median total income of households in 2015 ($),33556,Toronto,78373,5350065.02,-57.18%,lower,57.18%
55,535004702,2016,101,,5350047.02,2,47.02,4.3,7.2,742,Median total income of households in 2015 ($),34283,Toronto,78373,5350047.02,-56.26%,lower,56.26%
38,535003100,2016,101,,5350031,2,31,3.6,6.9,742,Median total income of households in 2015 ($),34848,Toronto,78373,5350031.00,-55.54%,lower,55.54%
426,535031604,2016,100,,5350316.04,2,316.04,4.4,4.1,742,Median total income of households in 2015 ($),34912,Toronto,78373,5350316.04,-55.45%,lower,55.45%
60,537003800,2016,1,5370038,,,38,6.6,8.9,742,Median total income of households in 2015 ($),35346,Hamilton,75464,5370038.00,-53.16%,lower,53.16%
505,535036307,2016,100,,5350363.07,2,363.07,5,5.6,742,Median total income of households in 2015 ($),35858,Toronto,78373,5350363.07,-54.25%,lower,54.25%
228,535019403,2016,0,,5350194.03,2,194.03,3,6.7,742,Median total income of households in 2015 ($),35917,Toronto,78373,5350194.03,-54.17%,lower,54.17%
85,537006300,2016,101,5370063,,,63,8.1,9.2,742,Median total income of households in 2015 ($),36147,Hamilton,75464,5370063.00,-52.10%,lower,52.10%
57,537003500,2016,111,5370035,,,35,8.5,13.1,742,Median total income of households in 2015 ($),36663,Hamilton,75464,5370035.00,-51.42%,lower,51.42%
46,539020500,2016,101,5390205,,2,205,4.7,8.8,742,Median total income of households in 2015 ($),36907,St. Catharines - Niagara,63001,5390205.00,-41.42%,lower,41.42%
56,537003400,2016,101,5370034,,,34,5.3,7.7,742,Median total income of households in 2015 ($),37195,Hamilton,75464,5370034.00,-50.71%,lower,50.71%
503,535036305,2016,101,,5350363.05,2,363.05,3.3,4.3,742,Median total income of households in 2015 ($),37303,Toronto,78373,5350363.05,-52.40%,lower,52.40%
4,535000400,2016,101,,5350004,2,4,6.6,5.3,742,Median total income of households in 2015 ($),37525,Toronto,78373,5350004.00,-52.12%,lower,52.12%
29,532001402,2016,1,5320014.02,,2,14.02,3.8,6.9,742,Median total income of households in 2015 ($),37824,Oshawa,85697,5320014.02,-55.86%,lower,55.86%
90,537006800,2016,0,5370068,,,68,4.6,4.6,742,Median total income of households in 2015 ($),37931,Hamilton,75464,5370068.00,-49.74%,lower,49.74%
7,543000500,2016,111,5430005,,2,5,6.2,16.3,742,Median total income of households in 2015 ($),38016,Brantford,68756,5430005.00,-44.71%,lower,44.71%
10,543000800,2016,1,5430008,,2,8,4.3,8,742,Median total income of households in 2015 ($),38080,Brantford,68756,5430008.00,-44.62%,lower,44.62%
59,539021500,2016,1,5390215,,2,215,6.6,9.8,742,Median total income of households in 2015 ($),38377,St. Catharines - Niagara,63001,5390215.00,-39.09%,lower,39.09%
205,535017502,2016,101,,5350175.02,2,175.02,4.7,7.6,742,Median total income of households in 2015 ($),38449,Toronto,78373,5350175.02,-50.94%,lower,50.94%
45,532010202,2016,1,5320102.02,,2,102.02,4.3,8.1,742,Median total income of households in 2015 ($),38528,Oshawa,85697,5320102.02,-55.04%,lower,55.04%
12,539000900,2016,1,5390009,,2,9,6.2,7.6,742,Median total income of households in 2015 ($),38587,St. Catharines - Niagara,63001,5390009.00,-38.75%,lower,38.75%
22,529010203,2016,1212,5290102.03,,,102.03,14,13.5,742,Median total income of households in 2015 ($),39040,Peterborough,64777,5290102.03,-39.73%,lower,39.73%
14,529001000,2016,101,5290010,,,10,5.1,7.5,742,Median total income of households in 2015 ($),39104,Peterborough,64777,5290010.00,-39.63%,lower,39.63%
244,535020800,2016,1,,5350208,2,208,3.7,7.6,742,Median total income of households in 2015 ($),39181,Toronto,78373,5350208.00,-50.01%,lower,50.01%
47,535003900,2016,101,,5350039,2,39,5,6.1,742,Median total income of households in 2015 ($),39245,Toronto,78373,5350039.00,-49.93%,lower,49.93%
8,535000702,2016,101,,5350007.02,2,7.02,5.1,5.4,742,Median total income of households in 2015 ($),39253,Toronto,78373,5350007.02,-49.92%,lower,49.92%
524,535037501,2016,0,,5350375.01,2,375.01,3.1,2.8,742,Median total income of households in 2015 ($),39410,Toronto,78373,5350375.01,-49.71%,lower,49.71%
489,535035702,2016,0,,5350357.02,2,357.02,3.1,5.1,742,Median total income of households in 2015 ($),39552,Toronto,78373,5350357.02,-49.53%,lower,49.53%
6,529000500,2016,0,5290005,,,5,4.9,4.1,742,Median total income of households in 2015 ($),39616,Peterborough,64777,5290005.00,-38.84%,lower,38.84%
181,535015601,2016,1,,5350156.01,2,156.01,4.3,8,742,Median total income of households in 2015 ($),39856,Toronto,78373,5350156.01,-49.15%,lower,49.15%
415,535031205,2016,101,,5350312.05,2,312.05,4.4,5.7,742,Median total income of households in 2015 ($),39893,Toronto,78373,5350312.05,-49.10%,lower,49.10%
313,535026004,2016,0,,5350260.04,2,260.04,3.1,4.4,742,Median total income of households in 2015 ($),40038,Toronto,78373,5350260.04,-48.91%,lower,48.91%
224,535019200,2016,0,,5350192,2,192,2.8,1.2,742,Median total income of households in 2015 ($),40320,Toronto,78373,5350192.00,-48.55%,lower,48.55%
9,532000500,2016,101,5320005,,2,5,4.9,7.2,742,Median total income of households in 2015 ($),40320,Oshawa,85697,5320005.00,-52.95%,lower,52.95%
429,535031702,2016,0,,5350317.02,2,317.02,3.2,4.4,742,Median total income of households in 2015 ($),40448,Toronto,78373,5350317.02,-48.39%,lower,48.39%
492,535035803,2016,0,,5350358.03,2,358.03,5,4.9,742,Median total income of households in 2015 ($),40768,Toronto,78373,5350358.03,-47.98%,lower,47.98%
45,535003700,2016,112,,5350037,2,37,7,10.5,742,Median total income of households in 2015 ($),40909,Toronto,78373,5350037.00,-47.80%,lower,47.80%
352,535028302,2016,1,,5350283.02,2,283.02,4.4,9,742,Median total income of households in 2015 ($),40928,Toronto,78373,5350283.02,-47.78%,lower,47.78%
39,541001700,2016,1101,5410017,,2,17,10.6,7.6,742,Median total income of households in 2015 ($),41088,Kitchener - Cambridge - Waterloo,77229,5410017.00,-46.80%,lower,46.80%
3,532000202,2016,101,5320002.02,,2,2.02,4.7,8.6,742,Median total income of households in 2015 ($),41244,Oshawa,85697,5320002.02,-51.87%,lower,51.87%
75,539030700,2016,0,5390307,,2,307,5.6,6,742,Median total income of households in 2015 ($),41253,St. Catharines - Niagara,63001,5390307.00,-34.52%,lower,34.52%
83,537006100,2016,111,5370061,,,61,4.1,11.8,742,Median total income of households in 2015 ($),41259,Hamilton,75464,5370061.00,-45.33%,lower,45.33%
488,535035701,2016,0,,5350357.01,2,357.01,2.7,5.7,742,Median total income of households in 2015 ($),41472,Toronto,78373,5350357.01,-47.08%,lower,47.08%
69,537004700,2016,1,5370047,,,47,4.3,6.9,742,Median total income of households in 2015 ($),41498,Hamilton,75464,5370047.00,-45.01%,lower,45.01%
46,535003800,2016,112,,5350038,2,38,7.9,11.3,742,Median total income of households in 2015 ($),41771,Toronto,78373,5350038.00,-46.70%,lower,46.70%
99,535008002,2016,1,,5350080.02,2,80.02,4.9,5.4,742,Median total income of households in 2015 ($),41888,Toronto,78373,5350080.02,-46.55%,lower,46.55%
93,537007100,2016,0,5370071,,,71,3.4,5.6,742,Median total income of households in 2015 ($),41909,Hamilton,75464,5370071.00,-44.46%,lower,44.46%
226,535019401,2016,0,,5350194.01,2,194.01,2.5,3.6,742,Median total income of households in 2015 ($),42096,Toronto,78373,5350194.01,-46.29%,lower,46.29%
96,537007203,2016,0,5370072.03,,,72.03,3.7,5.5,742,Median total income of households in 2015 ($),42112,Hamilton,75464,5370072.03,-44.20%,lower,44.20%
184,535015800,2016,101,,5350158,2,158,4.4,8,742,Median total income of households in 2015 ($),42155,Toronto,78373,5350158.00,-46.21%,lower,46.21%
95,537007202,2016,0,5370072.02,,,72.02,2.7,3.3,742,Median total income of households in 2015 ($),42219,Hamilton,75464,5370072.02,-44.05%,lower,44.05%
300,535024802,2016,1,,5350248.02,2,248.02,4.5,8.5,742,Median total income of households in 2015 ($),42336,Toronto,78373,5350248.02,-45.98%,lower,45.98%
85,541012400,2016,101,5410124,,2,124,8.5,7.6,742,Median total income of households in 2015 ($),42368,Kitchener - Cambridge - Waterloo,77229,5410124.00,-45.14%,lower,45.14%
44,537002602,2016,0,5370026.02,,,26.02,7,2.6,742,Median total income of households in 2015 ($),42432,Hamilton,75464,5370026.02,-43.77%,lower,43.77%
357,535028703,2016,0,,5350287.03,2,287.03,3.5,2.2,742,Median total income of households in 2015 ($),42470,Toronto,78373,5350287.03,-45.81%,lower,45.81%
7,535000701,2016,1,,5350007.01,2,7.01,4.8,8.4,742,Median total income of households in 2015 ($),42475,Toronto,78373,5350007.01,-45.80%,lower,45.80%
560,535037818,2016,0,,5350378.18,2,378.18,2.4,2.2,742,Median total income of households in 2015 ($),42496,Toronto,78373,5350378.18,-45.78%,lower,45.78%
32,539010000,2016,1,5390100,,2,100,5.9,5,742,Median total income of households in 2015 ($),42547,St. Catharines - Niagara,63001,5390100.00,-32.47%,lower,32.47%
47,539020600,2016,1,5390206,,2,206,5.4,8.7,742,Median total income of households in 2015 ($),42825,St. Catharines - Niagara,63001,5390206.00,-32.02%,lower,32.02%
75,535006202,2016,101,,5350062.02,2,62.02,5.6,6.9,742,Median total income of households in 2015 ($),42837,Toronto,78373,5350062.02,-45.34%,lower,45.34%
85,539032200,2016,0,5390322,,2,322,5.8,4.9,742,Median total income of households in 2015 ($),43093,St. Catharines - Niagara,63001,5390322.00,-31.60%,lower,31.60%
457,535033701,2016,101,,5350337.01,2,337.01,4.2,8.1,742,Median total income of households in 2015 ($),43136,Toronto,78373,5350337.01,-44.96%,lower,44.96%
54,537003200,2016,101,5370032,,,32,5.6,9.5,742,Median total income of households in 2015 ($),43221,Hamilton,75464,5370032.00,-42.73%,lower,42.73%
61,537003900,2016,101,5370039,,,39,5.5,5.9,742,Median total income of households in 2015 ($),43418,Hamilton,75464,5370039.00,-42.47%,lower,42.47%
491,535035802,2016,1,,5350358.02,2,358.02,4.3,6.4,742,Median total income of households in 2015 ($),43648,Toronto,78373,5350358.02,-44.31%,lower,44.31%
9,529000800,2016,101,5290008,,,8,5.5,6.3,742,Median total income of households in 2015 ($),43676,Peterborough,64777,5290008.00,-32.57%,lower,32.57%
74,537005200,2016,101,5370052,,,52,5.2,8.6,742,Median total income of households in 2015 ($),43872,Hamilton,75464,5370052.00,-41.86%,lower,41.86%
417,535031207,2016,0,,5350312.07,2,312.07,3.1,5.8,742,Median total income of households in 2015 ($),44075,Toronto,78373,5350312.07,-43.76%,lower,43.76%
8,532000402,2016,1,5320004.02,,2,4.02,4.4,6.1,742,Median total income of households in 2015 ($),44075,Oshawa,85697,5320004.02,-48.57%,lower,48.57%
56,541010500,2016,101,5410105,,2,105,7.6,7.9,742,Median total income of households in 2015 ($),44096,Kitchener - Cambridge - Waterloo,77229,5410105.00,-42.90%,lower,42.90%
10,532000600,2016,1,5320006,,2,6,4.2,6.9,742,Median total income of households in 2015 ($),44134,Oshawa,85697,5320006.00,-48.50%,lower,48.50%
486,535035506,2016,11,,5350355.06,2,355.06,3.4,10.2,742,Median total income of households in 2015 ($),44160,Toronto,78373,5350355.06,-43.65%,lower,43.65%
767,535047601,2016,1212,,5350476.01,2,476.01,12.8,13.7,742,Median total income of households in 2015 ($),44160,Toronto,78373,5350476.01,-43.65%,lower,43.65%
63,537004100,2016,101,5370041,,,41,9.1,8.7,742,Median total income of households in 2015 ($),44192,Hamilton,75464,5370041.00,-41.44%,lower,41.44%
428,535031606,2016,0,,5350316.06,2,316.06,3.6,6.1,742,Median total income of households in 2015 ($),44245,Toronto,78373,5350316.06,-43.55%,lower,43.55%
66,537004400,2016,0,5370044,,,44,6.3,3.8,742,Median total income of households in 2015 ($),44325,Hamilton,75464,5370044.00,-41.26%,lower,41.26%
317,535026100,2016,0,,5350261,2,261,6.5,4.3,742,Median total income of households in 2015 ($),44331,Toronto,78373,5350261.00,-43.44%,lower,43.44%
562,535037820,2016,0,,5350378.2,2,378.2,2.5,4.3,742,Median total income of households in 2015 ($),44384,Toronto,78373,5350378.20,-43.37%,lower,43.37%
9,543000700,2016,111,5430007,,2,7,5.9,10.1,742,Median total income of households in 2015 ($),44416,Brantford,68756,5430007.00,-35.40%,lower,35.40%
235,535020002,2016,1,,5350200.02,2,200.02,4.4,6.2,742,Median total income of households in 2015 ($),44448,Toronto,78373,5350200.02,-43.29%,lower,43.29%
96,541012800,2016,0,5410128,,2,128,4.9,5.9,742,Median total income of households in 2015 ($),44512,Kitchener - Cambridge - Waterloo,77229,5410128.00,-42.36%,lower,42.36%
84,537006200,2016,1,5370062,,,62,5.6,7.6,742,Median total income of households in 2015 ($),44518,Hamilton,75464,5370062.00,-41.01%,lower,41.01%
3,539000301,2016,0,5390003.01,,2,3.01,4,5.3,742,Median total income of households in 2015 ($),44523,St. Catharines - Niagara,63001,5390003.01,-29.33%,lower,29.33%
464,535034104,2016,0,,5350341.04,2,341.04,3.1,4.4,742,Median total income of households in 2015 ($),44526,Toronto,78373,5350341.04,-43.19%,lower,43.19%
10,529000901,2016,0,5290009.01,,,9.01,3.9,5.2,742,Median total income of households in 2015 ($),44544,Peterborough,64777,5290009.01,-31.23%,lower,31.23%
204,535017501,2016,101,,5350175.01,2,175.01,6.1,5.9,742,Median total income of households in 2015 ($),44640,Toronto,78373,5350175.01,-43.04%,lower,43.04%
77,535006304,2016,101,,5350063.04,2,63.04,7.3,6.9,742,Median total income of households in 2015 ($),44715,Toronto,78373,5350063.04,-42.95%,lower,42.95%
435,535032001,2016,0,,5350320.01,2,320.01,4.8,5.1,742,Median total income of households in 2015 ($),44736,Toronto,78373,5350320.01,-42.92%,lower,42.92%
200,535017100,2016,101,,5350171,2,171,7.5,6,742,Median total income of households in 2015 ($),44864,Toronto,78373,5350171.00,-42.76%,lower,42.76%
15,539001201,2016,0,5390012.01,,2,12.01,5.8,4.3,742,Median total income of households in 2015 ($),44992,St. Catharines - Niagara,63001,5390012.01,-28.59%,lower,28.59%
222,535019002,2016,0,,5350190.02,2,190.02,3.3,3.6,742,Median total income of households in 2015 ($),45099,Toronto,78373,5350190.02,-42.46%,lower,42.46%
452,535033200,2016,1,,5350332,2,332,4.7,6.8,742,Median total income of households in 2015 ($),45099,Toronto,78373,5350332.00,-42.46%,lower,42.46%
221,535019001,2016,0,,5350190.01,2,190.01,2.9,5.4,742,Median total income of households in 2015 ($),45109,Toronto,78373,5350190.01,-42.44%,lower,42.44%
541,535037616,2016,1,,5350376.16,2,376.16,7.8,5.8,742,Median total income of households in 2015 ($),45328,Toronto,78373,5350376.16,-42.16%,lower,42.16%
180,535015500,2016,1,,5350155,2,155,5,8.7,742,Median total income of households in 2015 ($),45397,Toronto,78373,5350155.00,-42.08%,lower,42.08%
14,550000600,2016,1,5500006,,2,6,5.4,4.6,742,Median total income of households in 2015 ($),45517,Guelph,81223,5500006.00,-43.96%,lower,43.96%
88,539033000,2016,1,5390330,,2,330,7.6,7.1,742,Median total income of households in 2015 ($),45552,St. Catharines - Niagara,63001,5390330.00,-27.70%,lower,27.70%
591,535040105,2016,1,,5350401.05,2,401.05,4.3,7.2,742,Median total income of households in 2015 ($),45632,Toronto,78373,5350401.05,-41.78%,lower,41.78%
13,539001000,2016,0,5390010,,2,10,3.8,6,742,Median total income of households in 2015 ($),45645,St. Catharines - Niagara,63001,5390010.00,-27.55%,lower,27.55%
938,535056301,2016,1,,5350563.01,2,563.01,3.9,6.5,742,Median total income of households in 2015 ($),45664,Toronto,78373,5350563.01,-41.74%,lower,41.74%
87,537006500,2016,0,5370065,,,65,3.6,2.3,742,Median total income of households in 2015 ($),45733,Hamilton,75464,5370065.00,-39.40%,lower,39.40%
58,541010602,2016,101,5410106.02,,2,106.02,4.8,9.9,742,Median total income of households in 2015 ($),45824,Kitchener - Cambridge - Waterloo,77229,5410106.02,-40.66%,lower,40.66%
450,535033103,2016,0,,5350331.03,2,331.03,2.1,3.1,742,Median total income of households in 2015 ($),45879,Toronto,78373,5350331.03,-41.46%,lower,41.46%
81,535006501,2016,101,,5350065.01,2,65.01,6,7.3,742,Median total income of households in 2015 ($),46108,Toronto,78373,5350065.01,-41.17%,lower,41.17%
201,535017200,2016,101,,5350172,2,172,4.6,8,742,Median total income of households in 2015 ($),46165,Toronto,78373,5350172.00,-41.10%,lower,41.10%
17,539001301,2016,1,5390013.01,,2,13.01,3.7,5.4,742,Median total income of households in 2015 ($),46315,St. Catharines - Niagara,63001,5390013.01,-26.49%,lower,26.49%
80,537005800,2016,1,5370058,,,58,3.4,6.1,742,Median total income of households in 2015 ($),46336,Hamilton,75464,5370058.00,-38.60%,lower,38.60%
427,535031605,2016,1,,5350316.05,2,316.05,3.3,8.1,742,Median total income of households in 2015 ($),46400,Toronto,78373,5350316.05,-40.80%,lower,40.80%
65,537004300,2016,101,5370043,,,43,6.1,7.5,742,Median total income of households in 2015 ($),46635,Hamilton,75464,5370043.00,-38.20%,lower,38.20%
16,568000600,2016,1,5680006,,2,6,5.1,7.4,742,Median total income of households in 2015 ($),46640,Barrie,80788,5680006.00,-42.27%,lower,42.27%
202,535017300,2016,101,,5350173,2,173,5.3,9.7,742,Median total income of households in 2015 ($),46643,Toronto,78373,5350173.00,-40.49%,lower,40.49%
196,535016800,2016,101,,5350168,2,168,3.6,5.4,742,Median total income of households in 2015 ($),46848,Toronto,78373,5350168.00,-40.22%,lower,40.22%
19,539001401,2016,0,5390014.01,,2,14.01,3.1,5.8,742,Median total income of households in 2015 ($),46848,St. Catharines - Niagara,63001,5390014.01,-25.64%,lower,25.64%
134,535010800,2016,101,,5350108,2,108,3.5,5.6,742,Median total income of households in 2015 ($),46860,Toronto,78373,5350108.00,-40.21%,lower,40.21%
43,537002601,2016,0,5370026.01,,,26.01,3.3,5,742,Median total income of households in 2015 ($),46976,Hamilton,75464,5370026.01,-37.75%,lower,37.75%
56,539021200,2016,0,5390212,,2,212,3.7,4.5,742,Median total income of households in 2015 ($),47019,St. Catharines - Niagara,63001,5390212.00,-25.37%,lower,25.37%
481,535035304,2016,1,,5350353.04,2,353.04,2.7,6.2,742,Median total income of households in 2015 ($),47040,Toronto,78373,5350353.04,-39.98%,lower,39.98%
523,535037403,2016,0,,5350374.03,2,374.03,2.4,4.9,742,Median total income of households in 2015 ($),47061,Toronto,78373,5350374.03,-39.95%,lower,39.95%
5,535000500,2016,1,,5350005,2,5,4.9,6.6,742,Median total income of households in 2015 ($),47067,Toronto,78373,5350005.00,-39.94%,lower,39.94%
30,541001200,2016,100,5410012,,2,12,5.9,4.8,742,Median total income of households in 2015 ($),47072,Kitchener - Cambridge - Waterloo,77229,5410012.00,-39.05%,lower,39.05%
83,539032000,2016,0,5390320,,2,320,3.4,3.1,742,Median total income of households in 2015 ($),47136,St. Catharines - Niagara,63001,5390320.00,-25.18%,lower,25.18%
111,535009102,2016,101,,5350091.02,2,91.02,5.4,8.1,742,Median total income of households in 2015 ($),47159,Toronto,78373,5350091.02,-39.83%,lower,39.83%
17,568000700,2016,101,5680007,,2,7,7.3,8.3,742,Median total income of households in 2015 ($),47206,Barrie,80788,5680007.00,-41.57%,lower,41.57%
227,535019402,2016,0,,5350194.02,2,194.02,5.3,5.1,742,Median total income of households in 2015 ($),47216,Toronto,78373,5350194.02,-39.75%,lower,39.75%
40,541001800,2016,101,5410018,,2,18,4.9,7.9,742,Median total income of households in 2015 ($),47424,Kitchener - Cambridge - Waterloo,77229,5410018.00,-38.59%,lower,38.59%
512,535036801,2016,101,,5350368.01,2,368.01,3.7,6.8,742,Median total income of households in 2015 ($),47445,Toronto,78373,5350368.01,-39.46%,lower,39.46%
26,529010501,2016,101,5290105.01,,,105.01,8.3,8.7,742,Median total income of households in 2015 ($),47488,Peterborough,64777,5290105.01,-26.69%,lower,26.69%
43,539020301,2016,0,5390203.01,,2,203.01,3.2,6.9,742,Median total income of households in 2015 ($),47573,St. Catharines - Niagara,63001,5390203.01,-24.49%,lower,24.49%
425,535031603,2016,0,,5350316.03,2,316.03,3.4,6.3,742,Median total income of households in 2015 ($),47616,Toronto,78373,5350316.03,-39.24%,lower,39.24%
493,535035900,2016,0,,5350359,2,359,4.3,4.7,742,Median total income of households in 2015 ($),47648,Toronto,78373,5350359.00,-39.20%,lower,39.20%
43,535003500,2016,101,,5350035,2,35,5,7.3,742,Median total income of households in 2015 ($),47671,Toronto,78373,5350035.00,-39.17%,lower,39.17%
414,535031204,2016,0,,5350312.04,2,312.04,5.9,4,742,Median total income of households in 2015 ($),47718,Toronto,78373,5350312.04,-39.11%,lower,39.11%
556,535037812,2016,0,,5350378.12,2,378.12,3.1,6.3,742,Median total income of households in 2015 ($),47835,Toronto,78373,5350378.12,-38.96%,lower,38.96%
49,541010101,2016,1201,5410101.01,,2,101.01,12.5,8.1,742,Median total income of households in 2015 ($),47835,Kitchener - Cambridge - Waterloo,77229,5410101.01,-38.06%,lower,38.06%
16,541000500,2016,0,5410005,,2,5,5.7,4.3,742,Median total income of households in 2015 ($),47890,Kitchener - Cambridge - Waterloo,77229,5410005.00,-37.99%,lower,37.99%
245,535020900,2016,1,,5350209,2,209,4,7,742,Median total income of households in 2015 ($),48000,Toronto,78373,5350209.00,-38.75%,lower,38.75%
74,535006201,2016,101,,5350062.01,2,62.01,4.1,6,742,Median total income of households in 2015 ($),48026,Toronto,78373,5350062.01,-38.72%,lower,38.72%
255,535021700,2016,0,,5350217,2,217,3.7,3.9,742,Median total income of households in 2015 ($),48032,Toronto,78373,5350217.00,-38.71%,lower,38.71%
351,535028301,2016,11,,5350283.01,2,283.01,5.3,10.4,742,Median total income of households in 2015 ($),48256,Toronto,78373,5350283.01,-38.43%,lower,38.43%
176,535015100,2016,1,,5350151,2,151,3.7,5.9,742,Median total income of households in 2015 ($),48320,Toronto,78373,5350151.00,-38.35%,lower,38.35%
45,539020400,2016,1,5390204,,2,204,4.7,7.3,742,Median total income of households in 2015 ($),48400,St. Catharines - Niagara,63001,5390204.00,-23.18%,lower,23.18%
462,535034102,2016,100,,5350341.02,2,341.02,7.1,5.2,742,Median total income of households in 2015 ($),48416,Toronto,78373,5350341.02,-38.22%,lower,38.22%
29,537001200,2016,102,5370012,,,12,4.5,6.9,742,Median total income of households in 2015 ($),48427,Hamilton,75464,5370012.00,-35.83%,lower,35.83%
410,535031105,2016,101,,5350311.05,2,311.05,3.8,5,742,Median total income of households in 2015 ($),48432,Toronto,78373,5350311.05,-38.20%,lower,38.20%
29,541001100,2016,1,5410011,,2,11,4.4,7.3,742,Median total income of households in 2015 ($),48469,Kitchener - Cambridge - Waterloo,77229,5410011.00,-37.24%,lower,37.24%
361,535029001,2016,1,,5350290.01,2,290.01,4.2,9.2,742,Median total income of households in 2015 ($),48491,Toronto,78373,5350290.01,-38.13%,lower,38.13%
79,537005700,2016,1,5370057,,,57,3.7,6.7,742,Median total income of households in 2015 ($),48768,Hamilton,75464,5370057.00,-35.38%,lower,35.38%
22,550001002,2016,0,5500010.02,,2,10.02,2.7,3.8,742,Median total income of households in 2015 ($),48896,Guelph,81223,5500010.02,-39.80%,lower,39.80%
7,529000600,2016,0,5290006,,,6,3.3,3.7,742,Median total income of households in 2015 ($),48910,Peterborough,64777,5290006.00,-24.49%,lower,24.49%
48,539020700,2016,0,5390207,,2,207,4.6,5.9,742,Median total income of households in 2015 ($),49003,St. Catharines - Niagara,63001,5390207.00,-22.22%,lower,22.22%
72,539030400,2016,0,5390304,,2,304,4,4.9,742,Median total income of households in 2015 ($),49024,St. Catharines - Niagara,63001,5390304.00,-22.19%,lower,22.19%
207,535018000,2016,1,,5350180,2,180,5.5,6.5,742,Median total income of households in 2015 ($),49045,Toronto,78373,5350180.00,-37.42%,lower,37.42%
